Rpa;Tipo_cod;Tipo;Cod_escola;Escola;Inep;Rua;Numero;Cod_bairro;Bairro;Metragem;Qtd_alunos;Qtd_turmas;Qtd_professores;Escola_climatizada;Data_visita;Quadra_coberta;Quadra_descoberta;Biblioteca;Sala_recurso;Gestor;Longitude;Latitude;Região
5;2;CRECHE MUNICIPAL;986;DE AFOGADOS;26156792.0;CERRO NEGRO;215;779;AFOGADOS;571,8;172;9;7;NÂO;;NÃO;NÃO;SIM;NÃO;JANAINA AUGUSTA DE LIMA AIROLA;-34.911;-8.0843;Sudeste
5;2;CRECHE MUNICIPAL;988;DO BONGI;26156725.0;MAJOR MARIO PORTELA;S/N;809;BONGI;453,6;163;7;8;SIM;19/06/2017;NÃO;NÃO;SIM;NÃO;YJANUI DE LOURDES LEAL HELIODORO CALIXTO;-34.915;-8.0667;Sudeste
5;2;CRECHE MUNICIPAL;535;FUTURO DO AMANHA;26153254.0;APULCRU DE ASSUNCAO;686;817;SAN MARTIN;307,1;78;4;4;NÂO;12/04/2017;NÃO;NÃO;NÃO;NÃO;ANA PAULA DO CARMO DE SANTANA;-34.929;-8.073;Sudeste
5;2;CRECHE MUNICIPAL;476;ISABEL SILVANA DE MELO;26186330.0;AVENIDA DOZE DE JUNHO;SN;876;BARRO;;55;4;4;NÂO;16/04/2018;NÃO;NÃO;NÃO;NÃO;KATIA MARIA CARNEIRO CAMILO;-34.954;-8.109;Sudeste
5;2;CRECHE MUNICIPAL;505;RECIFE 2000;26153130.0;RIO SOLIMOES;S/N;850;AREIAS;472;145;8;8;NÂO;;NÃO;NÃO;NÃO;SIM;FABIANA MIRANDA MISAEL;-34.937;-8.0975;Sudeste
5;5;CMEI;987;DA MANGUEIRA;26156776.0;21 DE ABRIL;1555;795;MANGUEIRA;499,5;120;6;5;NÂO;;NÃO;NÃO;SIM;NÃO;SANDRA CRISTINA DE SOUZA GAMBOA;-34.921;-8.0748;Sudeste
5;5;CMEI;551;NOSSO SENHOR JESUS DO BONFIM;26153262.0;TEIXEIRA DE MELO;56;833;ESTANCIA;625;95;6;6;NÂO;;NÃO;NÃO;NÃO;NÃO;MARIA AMANDA VITORINO DA SILVA;-34.93;-8.0812;Sudeste
5;8;CRECHE ESC.RECIFE;603;CRECHE ESCOLA RECIFE DA ESTANCIA;26190923.0;PROFESSOR CALDAS FILHO;186;833;ESTANCIA;;198;10;10;NÂO;;NÃO;NÃO;NÃO;SIM;ALBA VALERIA DE LIMA FALCAO BEZERRA;-34.928;-8.0853;Sudeste
5;8;CRECHE ESC.RECIFE;439;CRECHE ESCOLA RECIFE GOVERNADOR MIGUEL ARRAES;26185180.0;DOUTOR GIL RODRIGUES DOS SANTOS;10;850;AREIAS;;254;16;11;NÂO;;NÃO;NÃO;SIM;SIM;ELIZABETH SANTIAGO MOURA;-34.923;-8.0958;Sudeste
5;8;CRECHE ESC.RECIFE;454;DO IRAQUE;26184648.0;HAVAI;S/N;833;ESTANCIA;;108;6;7;NÂO;09/04/2018;NÃO;NÃO;NÃO;SIM;RAYANE FERREIRA CABRAL DE AZEVEDO;-34.929;-8.0874;Sudeste
